date,temperature
2018-10-18,11
2018-10-05,33.3
2018-10-09,30.6
2018-10-12,28.3
2018-06-09,16.2
2018-06-08,16.4
2018-08-31,19
2018-06-10,15.1
2018-08-28,28.3
2018-08-29,27.1
2018-06-06,13.8
2018-06-06,13.8
2018-06-05,14.9
2018-10-14,26
